0,1
57345,Female
57349,December 2003 (LN2)
24582,December 1996 (MSA)
22,May 1987 (L35)
24601,January 1997 (MSA)
26,November 1982 (M40)
27,June 1983 (M40)
32801,June 1997 (LSA)
8242,October 1992 (M30)
41012,September 1998 (MSA)
8247,June 1995 (L30)
55,January 1980 (L45)
73784,June 2008 (LB2)
63,March 1968 (M55)
8256,December 1994 (L30)
57408,March 2003 (LN3)
8263,August 1991 (M30)
24648,April 2000 (LSA)
8264,December 1990 (M30)
41054,February 1994 (L30)
41056,June 2000 (LSA)
41065,July 2002 (MN3)
32876,Male
24689,May 1999 (LSA)
32890,November 1997 (MSA)
41083,August 1996 (MSA)
32909,July 2000 (LSA)
24723,February 1986 (M35)
41110,January 2001 (LSA)
152,November 1982 (M40)
49321,March 1992 (L30)
174,November 1974 (L50)
180,February 1985 (M40)
8374,January 1992 (M30)
57535,October 2003 (LN2)
24771,July 1997 (MSA)
49350,March 2007 (LA1)
201,February 1972 (L50)
8401,November 1992 (M30)
24789,November 1997 (LSA)
8408,June 1993 (M30)
218,September 1982 (M40)
220,April 1983 (L40)
8419,September 1992 (L30)
8421,June 1993 (L30)
231,January 1986 (L35)
8424,July 1992 (L30)
235,October 1989 (L35)
8431,May 1991 (L30)
41200,August 2002 (LN3)
250,January 1987 (L35)
258,April 1970 (M55)
265,August 1982 (M40)
24870,May 2002 (MN4)
33070,Female
8510,October 1991 (L30)
319,February 1977 (M45)
8515,March 1990 (M35)
334,July 1982 (M40)
24915,September 1998 (LSA)
340,July 1977 (L45)
342,June 1985 (L40)
343,December 1982 (L40)
348,May 1983 (M40)
49505,January 2006 (LA2)
355,February 1981 (M40)
57706,July 1995 (MSA)
33131,October 1998 (MSA)
364,March 1983 (L40)
41334,May 1999 (LSA)
24954,August 1991 (L30)
381,November 1976 (M45)
383,November 1981 (M40)
41354,November 1997 (MSA)
397,November 1984 (L40)
398,September 1982 (L40)
24995,August 1999 (LSA)
65957,May 2003 (LN3)
439,June 1982 (M40)
25026,January 2001 (LSA)
33227,April 1993 (L30)
41430,Male
41433,Male
483,November 1983 (L40)
495,December 1988 (L35)
8709,September 1990 (M30)
41482,June 2003 (LN3)
25120,August 1999 (LSA)
98866,November 2000 (MSA)
33331,September 1997 (LSA)
66103,April 1991 (L30)
66104,August 1994 (L30)
568,September 1986 (M35)
573,September 1985 (M35)
49728,April 2002 (LN4)
579,March 1985 (M40)
581,February 1985 (M40)
582,December 1984 (M40)
16966,November 1997 (MSA)
593,August 1983 (M40)
604,April 1985 (L40)
607,August 1984 (L40)
609,May 1986 (L35)
41570,October 2004 (MN1)
612,March 1985 (L40)
25214,September 1998 (LSA)
25217,August 1998 (LSA)
57991,February 2004 (LN2)
25229,March 1999 (MSA)
41615,October 2001 (MN4)
58000,September 1997 (MSA)
25248,July 2000 (MSA)
41638,April 1989 (M35)
687,April 1986 (L35)
41658,April 2002 (MN4)
25298,August 1998 (LSA)
41691,March 2004 (LN2)
748,December 1989 (M35)
58110,December 2003 (MN2)
17165,March 1993 (M30)
787,July 1990 (L30)
8981,November 1993 (L30)
17178,April 1994 (M30)
8997,December 1991 (L30)
822,December 1983 (L40)
49977,November 2002 (LN3)
829,October 1985 (L35)
830,May 1985 (M40)
831,April 1986 (M35)
41802,May 1999 (LSA)
41805,September 1999 (LSA)
850,May 1988 (L35)
33624,March 2002 (LN4)
66396,February 2006 (MA2)
41833,Female
9070,August 1992 (M30)
9071,May 1990 (L35)
74611,February 2004 (MN2)
41847,January 2003 (LN3)
41852,December 1993 (M30)
9087,October 1992 (M30)
897,February 1989 (L35)
9089,July 1991 (M30)
17290,June 1994 (M30)
17293,August 1996 (MSA)
9111,May 1990 (L35)
925,October 1988 (L35)
933,August 1986 (L35)
33707,May 2002 (LN4)
940,September 1988 (L35)
33716,December 2001 (LN4)
41912,October 2000 (MSA)
41924,July 1996 (MSA)
17352,August 1996 (MSA)
66543,October 1996 (LSA)
1031,December 1987 (M35)
25622,August 1998 (LSA)
1050,December 1985 (M35)
25628,March 1998 (LSA)
58404,September 1991 (M30)
25637,October 1998 (LSA)
17470,December 1994 (M30)
25667,December 1997 (MSA)
25726,August 1999 (LSA)
42111,October 1995 (MSA)
50310,December 1997 (LSA)
25742,April 2000 (LSA)
1168,April 1986 (M35)
17560,September 1996 (MSA)
1178,November 1992 (M30)
1183,February 1989 (M35)
83109,June 1991 (L30)
9383,August 1995 (MSA)
1195,February 1989 (L35)
25772,June 1994 (L30)
33963,December 1997 (MSA)
33984,September 1998 (LSA)
58566,August 2003 (MN2)
83152,August 2002 (MN3)
58576,Male
25816,September 2000 (LSA)
