ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
,,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
10287.0,0.0,1,Bergsma,Heather,USA,"37,11",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
29245.0,1.0,2,Bowe,Brittany,USA,"37,59",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
1195.0,2.0,3,Lee,Sang-Hwa,KOR,"37,69",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
1598.0,3.0,4,Kodaira,Nao,JPN,"37,70",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
398.0,4.0,5,Dannhauer,Judith,GER,"37,88",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
3606.0,5.0,6,Oenema,Thijsje,NED,"37,97",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,f,2014,500
5675.0,6.0,7,Aydova,Yekaterina,KAZ,"38,03",2014-10-24,Astana (KAZ),Kazakhstan - Single Distances Championships 2015,f,2014,500
6333.0,7.0,8,Erbanová,Karolina,CZE,"38,04",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
5828.0,8.0,9,Fatkulina,Olga,RUS,"38,16",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
1309.0,9.0,10,Boer,Margot,NED,"38,20",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
6942.0,10.0,11,de Jong,Letitia,NED,"38,21",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
5963.0,11.0,12,Herzog,Vanessa,AUT,"38,26",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,500
4712.0,12.0,13,van der Werff,Bo,NED,"38,28",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
4077.0,13.0,14,van den Brandt,Floor,NED,"38,30",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,f,2014,500
604.0,14.0,15,Tsuji,Maki,JPN,"38,33",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
5554.0,15.0,16,Carruthers,Heather,CAN,"38,34",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,f,2014,500
2464.0,16.0,17,Gregg,Jessica,CAN,"38,38",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,f,2014,500
18618.0,17.0,18,Zhang,Hong,CHN,"38,40",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,f,2014,500
1711.0,18.0,19,Hudey,Marsha,CAN,"38,45",2014-10-25,Calgary (CAN),World Cup Trials,f,2014,500
397.0,19.0,19,Rempel,Shannon,CAN,"38,45",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
45876.0,20.0,21,Li,Qishi,CHN,"38,49",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
1341.0,21.0,22,Das,Anice,NED,"38,50",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
4138.0,22.0,23,Irvine,Kaylin,CAN,"38,57",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
787.0,23.0,24,Todd,Sugar,USA,"38,60",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
1696.0,24.0,25,Sumiyoshi,Miyako,JPN,"38,62",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
5842.0,25.0,26,Aseeva,Nadezhda,RUS,"38,63",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
5555.0,26.0,27,Christ,Kali,CAN,"38,67",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
687.0,27.0,28,Wüst,Ireen,NED,"38,73",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
50954.0,28.0,29,Park,Seung-Hi,KOR,"38,75",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,500
829.0,29.0,30,Gerritsen,Annette,NED,"38,76",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
4586.0,30.0,31,Yu,Jing,CHN,"38,81",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,f,2014,500
8510.0,31.0,32,Ianculescu,Alexandra,CAN,"38,83",2014-10-25,Calgary (CAN),World Cup Trials,f,2014,500
2131.0,32.0,32,Kuipers,Mayon,NED,"38,83",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
2126.0,33.0,32,van Riessen,Laurine,NED,"38,83",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,500
