ID,Family Name,Given Name,Gender
10287,Bergsma,Heather,f
29245,Bowe,Brittany,f
1195,Lee,Sang-Hwa,f
1598,Kodaira,Nao,f
398,Dannhauer,Judith,f
3606,Oenema,Thijsje,f
5675,Aydova,Yekaterina,f
6333,Erbanová,Karolina,f
5828,Fatkulina,Olga,f
1309,Boer,Margot,f
6942,de Jong,Letitia,f
5963,Herzog,Vanessa,f
4712,van der Werff,Bo,f
4077,van den Brandt,Floor,f
604,Tsuji,Maki,f
5554,Carruthers,Heather,f
2464,Gregg,Jessica,f
18618,Zhang,Hong,f
1711,Hudey,Marsha,f
397,Rempel,Shannon,f
45876,Li,Qishi,f
1341,Das,Anice,f
4138,Irvine,Kaylin,f
787,Todd,Sugar,f
1696,Sumiyoshi,Miyako,f
5842,Aseeva,Nadezhda,f
5555,Christ,Kali,f
687,Wüst,Ireen,f
50954,Park,Seung-Hi,f
829,Gerritsen,Annette,f
4586,Yu,Jing,f
8510,Ianculescu,Alexandra,f
2131,Kuipers,Mayon,f
2126,van Riessen,Laurine,f
3737,Daldossi,Yvonne,f
9563,Koval,Yuliya,f
4853,Smit,Janine,f
9561,Golikova,Angelina,f
20369,Blondin,Ivanie,f
18632,Zhao,Xin,f
940,Roth,Denise,f
1892,Lee,Bo-Ra,f
3220,Go,Arisa,f
1260,Oudenaarden,Tamara,f
4313,Njåtun,Ida,f
1623,Kikuchi,Ayaka,f
1802,Leenstra,Marrit,f
40477,Li,Huawei,f
9657,Kim,Hyun-Yung,f
4212,Park,Seung-Joo,f
8424,Takagi,Nana,f
822,Hirschbichler,Gabriele,f
34997,Kim,Min-Sun,f
9653,Jang,Mee,f
343,Skokova,Yuliya,f
22,Sáblíková,Martina,f
1344,Joling,Marije,f
12830,Takagi,Miho,f
1346,de Vries,Linda,f
4833,Risku,Elina,f
19161,Fiset,Noémie,f
4299,Kamminga,Manon,f
5067,Arshinova,Irina,f
10255,Gunther,Kelly,f
29784,Kim,Min-Jo,f
5642,Pater,Rosa,f
609,Złotkowska,Luiza,f
22755,Zhang,Yue,f
3147,Matsuda,Yuki,f
933,Plate,Jennifer,f
5170,Li,Dan,f
5796,van Beek,Lotte,f
4564,Li,Xue,f
23846,Kachanova,Daria,f
5547,Klijnstra,Moniek,f
220,Bradford,Rebekah,f
1404,Franzen,Katja,f
9576,Karannikova,Tatyana,f
7837,van Rijn,Emma,f
4579,An,Shanna,f
30407,Beuling,Femke,f
4625,Bøkko,Hege,f
9071,Liu,Jing,f
18619,Sha,Yuning,f
15852,Soga,Konami,f
14099,Toi,Saori,f
1788,van der Weijden,Annouk,f
15942,Kim,Min-Ji,f
4043,Hanly,Kate,f
20346,Poelzer,Keira,f
607,Voorhuis,Jorien,f
5808,Sadouskaya,Kseniya,f
8981,Tsujimoto,Arisa,f
24191,Asano,Miku,f
5607,Nam,Ye-Won,f
22341,Mikhailava,Tatsiana,f
17787,Voronina,Natalia,f
75801,Murashova,Evgeniya,f
9908,Ryzhova,Margarita,f
5606,Kuroiwa,Mio,f
24558,Fujimori,Miki,f
4585,Zhang,Xin,f
22368,de Neeling,Sanneke,f
4774,van Hemert,Roxanne,f
18959,Wijfje,Melissa,f
40476,Sun,Nan,f
18036,Rijpma-de Jong,Antoinette,f
29275,Schwartzburg,Paige,f
174,Tabata,Maki,f
10225,Morrison,Josie,f
20443,Weidemann,Isabelle,f
24419,Golubeva,Elizaveta,f
925,Ost,Isabell,f
1340,Valkenburg,Diane,f
4268,Achtereekte,Carlijn,f
5957,Schouten,Irene,f
1924,Shabanova,Alla,f
17632,Kachurkina,Alexandra,f
201,Pechstein,Claudia,f
3605,Nauta,Yvonne,f
19908,Yamane,Kako,f
2421,Dufter,Roxane,f
21549,Sato,Ayano,f
4152,Fu,Chunyan,f
26026,van Elst,Isabelle,f
9632,Anema,Reina,f
12821,Abe,Yuka,f
15128,Uhrig,Michelle,f
2090,Graf,Olga,f
29406,Kim,Bo-Reum,f
6617,Lollobrigida,Francesca,f
6596,Dekker,Miranda,f
19446,Sakai,Nene,f
6283,Behlau,Leia,f
9111,Hao,Jiachen,f
21025,Park,Ji-Woo,f
